Fylkenummer;Fylkenavn;Kommunenummer;Kommunenavn;Stemmekretsnummer;Stemmekretsnavn;Partikode;Partinavn;Oppslutning prosentvis;Antall stemmeberettigede;Antall forhåndsstemmer;Antall valgtingstemmer;Antall stemmer totalt;Endring % siste tilsvarende valg;Endring % siste ekvivalente valg;Antall mandater;Antall utjevningsmandater;
01;Østfold;;;;;A;Arbeiderpartiet;30,62535;223945;23805;24512;48317;-1,44476;3,14863;3;0;
01;Østfold;;;;;SV;SV - Sosialistisk Venstreparti;5,88079;223945;4968;4310;9278;1,51729;1,67913;1;1;
01;Østfold;;;;;RØDT;Rødt;4,52627;223945;3986;3155;7141;2,38453;0,3459;0;0;
01;Østfold;;;;;SP;Senterpartiet;14,20884;223945;9653;12764;22417;5,54755;-3,08189;2;0;
01;Østfold;;;;;KRF;Kristelig Folkeparti;3,34732;223945;2449;2832;5281;-0,85743;-0,23146;0;0;
01;Østfold;;;;;MDG;Miljøpartiet De Grønne;2,85799;223945;2703;1806;4509;0,27646;-3,13581;0;0;
01;Østfold;;;;;V;Venstre;2,81172;223945;2074;2362;4436;0,4039;0,92654;0;0;
01;Østfold;;;;;H;Høyre;18,74588;223945;14969;14606;29575;-5,08518;0,94424;2;0;
01;Østfold;;;;;FRP;Fremskrittspartiet;12,79157;223945;8990;11191;20181;-4,747;3,88523;1;0;
01;Østfold;;;;;AAN;Alliansen - Alternativ for Norge;0,10649;223945;74;94;168;0,10649;0,10649;0;0;
01;Østfold;;;;;DEMN;Demokratene;1,47115;223945;1225;1096;2321;1,34884;1,24486;0;0;
01;Østfold;;;;;FNB;Folkeaksjonen Nei til mer bompenger;0,17684;223945;138;141;279;0,17684;-3,89945;0;0;
01;Østfold;;;;;HELSE;Helsepartiet;0,24593;223945;203;185;388;-0,25893;-0,21689;0;0;
01;Østfold;;;;;INP;Industri- og Næringspartiet;0,14008;223945;106;115;221;0,14008;0,14008;0;0;
01;Østfold;;;;;KRISTNE;Partiet De Kristne;0,42784;223945;350;325;675;0,10645;-0,21474;0;0;
01;Østfold;;;;;LIBS;Liberalistene;0,15973;223945;108;144;252;-0,06147;-0,11071;0;0;
01;Østfold;;;;;PIR;Piratpartiet;0,09191;223945;63;82;145;0,09191;-0,1533;0;0;
01;Østfold;;;;;PP;Pensjonistpartiet;1,17768;223945;1136;722;1858;0,33712;-0,87624;0;0;
01;Østfold;;;;;PS;Partiet Sentrum;0,20663;223945;165;161;326;0,20663;0,20663;0;0;
01;Østfold;;;;;BLANKE;Blanke;0,87153;223945;530;845;1375;-0,06597;-1,49224;0;0;
02;Akershus;;;;;A;Arbeiderpartiet;25,96795;471106;52116;39883;91999;-0,36462;3,37393;5;0;
02;Akershus;;;;;SV;SV - Sosialistisk Venstreparti;6,58379;471106;14050;9275;23325;1,35007;1,77313;1;0;
02;Akershus;;;;;RØDT;Rødt;3,86701;471106;8305;5395;13700;1,93756;0,79368;1;0;
02;Akershus;;;;;SP;Senterpartiet;8,86053;471106;16354;15037;31391;2,95949;-0,66824;2;0;
02;Akershus;;;;;KRF;Kristelig Folkeparti;2,0577;471106;4117;3173;7290;-0,31115;-0,21615;0;0;
02;Akershus;;;;;MDG;Miljøpartiet De Grønne;4,55658;471106;11074;5069;16143;0,91709;-4,25823;1;0;
02;Akershus;;;;;V;Venstre;6,63996;471106;13383;10141;23524;0,24856;1,72103;2;1;
02;Akershus;;;;;H;Høyre;27,7002;471106;61092;37044;98136;-3,3545;-0,85823;5;0;
02;Akershus;;;;;FRP;Fremskrittspartiet;10,56822;471106;19904;17537;37441;-4,71989;1,93023;2;0;
02;Akershus;;;;;AAN;Alliansen - Alternativ for Norge;0,08383;471106;134;163;297;0,08383;0,08383;0;0;
02;Akershus;;;;;DEMN;Demokratene;1,098;471106;2308;1582;3890;1,01647;0,85329;0;0;
02;Akershus;;;;;FNB;Folkeaksjonen Nei til mer bompenger;0,1719;471106;272;337;609;0,1719;-3,00009;0;0;
02;Akershus;;;;;HELSE;Helsepartiet;0,31585;471106;621;498;1119;-0,28634;-0,19279;0;0;
02;Akershus;;;;;INP;Industri- og Næringspartiet;0,13238;471106;267;202;469;0,13238;0,13238;0;0;
02;Akershus;;;;;KRISTNE;Partiet De Kristne;0,19279;471106;395;288;683;0,0651;-0,08556;0;0;
02;Akershus;;;;;LIBS;Liberalistene;0,16851;471106;307;290;597;-0,01297;-0,08485;0;0;
02;Akershus;;;;;PIR;Piratpartiet;0,09004;471106;136;183;319;-0,06681;-0,14186;0;0;
02;Akershus;;;;;PP;Pensjonistpartiet;0,6365;471106;1559;696;2255;0,08442;-0,93876;0;0;
02;Akershus;;;;;PS;Partiet Sentrum;0,25996;471106;517;404;921;0,25996;0,25996;0;0;
02;Akershus;;;;;BLANKE;Blanke;0,6255;471106;1013;1203;2216;0,072;-0,7941;0;0;
02;Akershus;;;;;GENE;Generasjonspartiet;0,04827;471106;130;41;171;0,04827;0,04827;0;0;
03;Oslo;;;;;A;Arbeiderpartiet;23,03733;485656;49021;36236;85257;-5,317;3,0295;4;0;
03;Oslo;;;;;SV;SV - Sosialistisk Venstreparti;13,28922;485656;31614;17567;49181;4,0133;4,18908;3;0;
03;Oslo;;;;;RØDT;Rødt;8,27735;485656;19611;11022;30633;1,98944;1,08054;2;0;
03;Oslo;;;;;SP;Senterpartiet;3,1112;485656;6668;4846;11514;0,99244;0,92769;0;0;
03;Oslo;;;;;KRF;Kristelig Folkeparti;1,80987;485656;4007;2691;6698;-0,3266;0,07346;0;0;
03;Oslo;;;;;MDG;Miljøpartiet De Grønne;8,45407;485656;21243;10044;31287;2,50121;-6,8064;2;0;
03;Oslo;;;;;V;Venstre;9,99373;485656;20769;16216;36985;1,56744;4,21756;3;1;
03;Oslo;;;;;H;Høyre;23,56262;485656;53566;33635;87201;-2,88378;-1,83858;5;0;
03;Oslo;;;;;FRP;Fremskrittspartiet;5,99894;485656;13033;9168;22201;-3,5453;0,72569;1;0;
03;Oslo;;;;;AAN;Alliansen - Alternativ for Norge;0,06053;485656;130;94;224;0,06053;0,06053;0;0;
03;Oslo;;;;;DEMN;Demokratene;0,68228;485656;1621;904;2525;0,59348;0,41741;0;0;
03;Oslo;;;;;FNB;Folkeaksjonen Nei til mer bompenger;0,28534;485656;598;458;1056;0,28534;-5,5554;0;0;
03;Oslo;;;;;HELSE;Helsepartiet;0,15591;485656;363;214;577;-0,16662;-0,07639;0;0;
03;Oslo;;;;;INP;Industri- og Næringspartiet;0,06188;485656;130;99;229;0,06188;0,06188;0;0;
03;Oslo;;;;;KRISTNE;Partiet De Kristne;0,12511;485656;278;185;463;0,03167;-0,04208;0;0;
03;Oslo;;;;;KYST;Kystpartiet;0,01729;485656;37;27;64;0,01729;-0,02621;0;0;
03;Oslo;;;;;LIBS;Liberalistene;0,1751;485656;375;273;648;-0,0066;-0,04709;0;0;
03;Oslo;;;;;NKP;Norges Kommunistiske Parti;0,0327;485656;84;37;121;0,00028;-0,03981;0;0;
03;Oslo;;;;;PIR;Piratpartiet;0,10079;485656;209;164;373;-0,07083;-0,08883;0;0;
03;Oslo;;;;;PP;Pensjonistpartiet;0,33371;485656;841;394;1235;-0,02995;-0,27346;0;0;
03;Oslo;;;;;PS;Partiet Sentrum;0,36073;485656;682;653;1335;0,36073;0,36073;0;0;
03;Oslo;;;;;BLANKE;Blanke;0,43639;485656;780;835;1615;-0,03405;-0,08951;0;0;
03;Oslo;;;;;FI;Feministisk Initiativ;0,07431;485656;214;61;275;-0,0145;-0,08412;0;0;
04;Hedmark;;;;;A;Arbeiderpartiet;33,29401;152228;19869;17386;37255;-2,29099;-1,45319;3;0;
04;Hedmark;;;;;SV;SV - Sosialistisk Venstreparti;6,65523;152228;4234;3213;7447;0,95086;1,11574;0;0;
04;Hedmark;;;;;RØDT;Rødt;3,30572;152228;2166;1533;3699;2,03788;0,78109;0;0;
04;Hedmark;;;;;SP;Senterpartiet;28,25098;152228;14636;16976;31612;6,06918;0,85965;2;0;
04;Hedmark;;;;;KRF;Kristelig Folkeparti;1,61935;152228;902;910;1812;-0,1844;-0,26028;0;0;
04;Hedmark;;;;;MDG;Miljøpartiet De Grønne;1,95716;152228;1460;730;2190;0,01126;-2,5578;0;0;
04;Hedmark;;;;;V;Venstre;2,17879;152228;1234;1204;2438;-0,14057;0,03032;0;0;
04;Hedmark;;;;;H;Høyre;10,59278;152228;6320;5533;11853;-4,77751;-0,06035;1;0;
04;Hedmark;;;;;FRP;Fremskrittspartiet;8,49978;152228;4212;5299;9511;-3,14734;2,53896;1;1;
04;Hedmark;;;;;AAN;Alliansen - Alternativ for Norge;0,08669;152228;53;44;97;0,08669;0,08669;0;0;
04;Hedmark;;;;;DEMN;Demokratene;1,18949;152228;741;590;1331;1,02262;0,99633;0;0;
04;Hedmark;;;;;FNB;Folkeaksjonen Nei til mer bompenger;0,07149;152228;29;51;80;0,07149;0,07149;0;0;
04;Hedmark;;;;;HELSE;Helsepartiet;0,25827;152228;146;143;289;-0,05074;-0,08173;0;0;
04;Hedmark;;;;;INP;Industri- og Næringspartiet;0,15193;152228;74;96;170;0,15193;0,15193;0;0;
04;Hedmark;;;;;KRISTNE;Partiet De Kristne;0,18767;152228;98;112;210;0,042;-0,14668;0;0;
04;Hedmark;;;;;LIBS;Liberalistene;0,11528;152228;64;65;129;-0,02951;-0,11289;0;0;
04;Hedmark;;;;;PP;Pensjonistpartiet;1,3146;152228;970;501;1471;0,18185;-2,23004;0;0;
04;Hedmark;;;;;PS;Partiet Sentrum;0,18499;152228;105;102;207;0,18499;0,18499;0;0;
04;Hedmark;;;;;BLANKE;Blanke;0,65417;152228;296;436;732;-0,09629;-1,81736;0;0;
04;Hedmark;;;;;RN;Redd Naturen;0,08579;152228;42;54;96;0,08579;0,08579;0;0;
05;Oppland;;;;;A;Arbeiderpartiet;35,19755;132383;17512;16064;33576;-0,0245;1,80229;2;0;
05;Oppland;;;;;SV;SV - Sosialistisk Venstreparti;5,3159;132383;3020;2051;5071;0,69452;1,06061;0;0;
05;Oppland;;;;;RØDT;Rødt;3,70467;132383;2216;1318;3534;2,06548;0,5808;0;0;
05;Oppland;;;;;SP;Senterpartiet;26,15181;132383;11551;13396;24947;4,14609;-3,92993;2;0;
